,-1280,-10692,15852,151,409,213
,-1624,-10704,15632,131,449,214
,-1084,-10172,15812,222,298,2544
,-2124,-11020,17120,350,-31,6197
,-1156,-10776,16496,402,441,6936
,-1932,-10564,15192,600,199,10081
,-2744,-10092,15956,215,370,6395
,-1964,-9680,14776,560,64,10978
,-2380,-9776,16580,265,223,7900
,-2168,-10864,16796,565,145,8580
,-3452,-9872,17096,539,179,8936
,-1176,-9864,16192,16,-209,5986
,-1188,-10096,15228,210,382,3709
,-1644,-10568,16600,87,286,4668
,196,-10652,14708,435,584,10636
,-2492,-9384,17148,8,202,7640
,-1940,-10636,15524,525,248,7312
,-968,-11988,15916,549,481,10721
,-1076,-10852,16020,487,192,8218
,-1696,-10736,15796,447,312,8318
,-1636,-11404,15668,161,1177,3696
,-2556,-15140,15940,-8643,26,731
,-2948,-20468,12236,-7093,636,755
,-2136,-24360,7680,-8449,-4474,1272
,-3364,-25636,-1824,-16357,-871,640
,-1792,-21900,-11376,-11949,2043,2936
,-688,-18156,-16156,-7284,1517,579
,172,-13392,-17460,-9446,3131,1988
,-772,-6792,-19056,-7656,-1373,3009
,-904,-1396,-14328,-8907,-2524,358
,-1240,3988,-10096,-8595,1915,-341
,-1104,5928,-5076,-6432,1045,722
,540,5764,2992,-13751,3397,2661
,1024,3312,8428,-5552,1608,388
,180,1264,11020,-3742,1940,-193
,-140,-1452,12972,-3701,737,-41
,-616,-3832,15024,-3358,1994,297
,648,-8384,12860,5899,-6788,7002
,-1204,-11548,16156,-398,-1083,-538
,4284,-11260,16072,638,-5002,-1208
,9384,-10968,12556,2558,-13644,1839
,13644,-13156,2172,-981,-13178,1884
,12204,-13592,-8420,-808,-14935,689
,6748,-13256,-14416,726,-8472,348
,732,-14100,-17248,2742,-6624,-2569
,-2892,-13984,-17332,1290,-2495,800
,-7828,-14344,-15436,1425,-13200,368
,-12460,-15496,-11500,632,-4628,118
,-16500,-15336,-7308,525,-8226,1315
,-18308,-13976,-644,-3007,-8531,1537
,-16688,-13240,5684,2047,-10572,21
,-12568,-12784,11808,949,-6732,753
,-8608,-12392,14392,526,-5683,320
,-5388,-12064,15508,340,-5406,-1172
,-2316,-11356,16332,1162,-3489,-1885
,368,-11860,15884,-433,-1861,-497
,1324,-12016,15940,289,1705,1934
,-1956,-10620,15452,14,1003,1437
,-2008,-10532,15432,-272,285,788
,-2328,-13384,16160,-3063,-178,1826